loading data...completed 0.08935141563415527 sec
Epoch: [0][0/17]	Time 0.195 (0.195)	Loss 0.9805 (0.9805)
Epoch: [4][9/17]	Time 0.007 (0.007)	Loss 0.7926 (0.7093)
Epoch: [4][10/17]	Time 0.007 (0.007)	Loss 0.6899 (0.7076)
Epoch: [4][11/17]	Time 0.007 (0.007)	Loss 0.7219 (0.7088)
Epoch: [4][12/17]	Time 0.006 (0.007)	Loss 0.6685 (0.7057)
Epoch: [4][13/17]	Time 0.008 (0.007)	Loss 0.7590 (0.7095)
Epoch: [4][14/17]	Time 0.007 (0.007)	Loss 0.6733 (0.7071)
Epoch: [4][15/17]	Time 0.008 (0.007)	Loss 0.6338 (0.7025)
Epoch: [4][16/17]	Time 0.006 (0.007)	Loss 0.6542 (0.7005)
Epoch end: [4]	Time 0.121	Loss 0.7005
Train loss score [4]: tensor(0.7005)
Pred  Val: [4][0/3]	Time 0.007 (0.007)	Loss 0.7161 (0.7161)
Pred  Val: [4][1/3]	Time 0.008 (0.007)	Loss 0.6647 (0.6904)
Pred  Val: [4][2/3]	Time 0.002 (0.005)	Loss 0.8969 (0.6989)
Pred  Val end: [4]	Time 0.016	Loss 0.6989
Val loss score [4]: tensor(0.6989) <-Best
Epoch: [5][0/17]	Time 0.017 (0.017)	Loss 0.6733 (0.6733)
Epoch: [5][1/17]	Time 0.008 (0.012)	Loss 0.6201 (0.6467)
Epoch: [5][2/17]	Time 0.007 (0.011)	Loss 0.6991 (0.6642)
Epoch: [5][3/17]	Time 0.007 (0.010)	Loss 0.6808 (0.6683)
Epoch: [5][4/17]	Time 0.008 (0.009)	Loss 0.6029 (0.6552)
Epoch: [5][5/17]	Time 0.007 (0.009)	Loss 0.6536 (0.6550)
Epoch: [5][6/17]	Time 0.010 (0.009)	Loss 0.7129 (0.6632)
Epoch: [5][7/17]	Time 0.008 (0.009)	Loss 0.6185 (0.6576)
Epoch: [5][8/17]	Time 0.007 (0.009)	Loss 0.6441 (0.6561)
Epoch: [5][9/17]	Time 0.007 (0.009)	Loss 0.5999 (0.6505)
Epoch: [5][10/17]	Time 0.007 (0.008)	Loss 0.6135 (0.6472)
Epoch: [5][11/17]	Time 0.007 (0.008)	Loss 0.7311 (0.6542)
Epoch: [5][12/17]	Time 0.007 (0.008)	Loss 0.5949 (0.6496)
Epoch: [5][13/17]	Time 0.008 (0.008)	Loss 0.6139 (0.6470)
Epoch: [5][14/17]	Time 0.006 (0.008)	Loss 0.6557 (0.6476)
Epoch: [5][15/17]	Time 0.008 (0.008)	Loss 0.6121 (0.6454)
Epoch: [5][16/17]	Time 0.006 (0.008)	Loss 0.5913 (0.6432)
Epoch end: [5]	Time 0.134	Loss 0.6432
Train loss score [5]: tensor(0.6432)
Pred  Val: [5][0/3]	Time 0.008 (0.008)	Loss 0.6710 (0.6710)
Pred  Val: [5][1/3]	Time 0.004 (0.006)	Loss 0.6490 (0.6600)
Pred  Val: [5][2/3]	Time 0.002 (0.005)	Loss 0.7561 (0.6640)
Pred  Val end: [5]	Time 0.014	Loss 0.6640
Val loss score [5]: tensor(0.6640) <-Best
Epoch: [6][0/17]	Time 0.009 (0.009)	Loss 0.6877 (0.6877)
Epoch: [6][1/17]	Time 0.007 (0.008)	Loss 0.6208 (0.6543)
Epoch: [6][2/17]	Time 0.007 (0.008)	Loss 0.5816 (0.6300)
Epoch: [6][3/17]	Time 0.007 (0.007)	Loss 0.6499 (0.6350)
Epoch: [6][4/17]	Time 0.009 (0.008)	Loss 0.6360 (0.6352)
Epoch: [6][5/17]	Time 0.006 (0.008)	Loss 0.6119 (0.6313)
Epoch: [6][6/17]	Time 0.007 (0.007)	Loss 0.6139 (0.6288)
Epoch: [6][7/17]	Time 0.007 (0.007)	Loss 0.5551 (0.6196)
Epoch: [6][8/17]	Time 0.007 (0.007)	Loss 0.5595 (0.6129)
Epoch: [6][9/17]	Time 0.122 (0.019)	Loss 0.5692 (0.6085)
Epoch: [6][10/17]	Time 0.006 (0.018)	Loss 0.5679 (0.6048)
Epoch: [6][11/17]	Time 0.006 (0.017)	Loss 0.5254 (0.5982)
Epoch: [6][12/17]	Time 0.008 (0.016)	Loss 0.5463 (0.5942)
Epoch: [6][13/17]	Time 0.007 (0.015)	Loss 0.5992 (0.5946)
Epoch: [6][14/17]	Time 0.007 (0.015)	Loss 0.5702 (0.5930)
Epoch: [6][15/17]	Time 0.007 (0.014)	Loss 0.5497 (0.5903)
Epoch: [6][16/17]	Time 0.006 (0.014)	Loss 0.6664 (0.5934)
Epoch end: [6]	Time 0.235	Loss 0.5934
Train loss score [6]: tensor(0.5934)
Pred  Val: [6][0/3]	Time 0.005 (0.005)	Loss 0.5771 (0.5771)
Pred  Val: [6][1/3]	Time 0.004 (0.004)	Loss 0.5989 (0.5880)
Pred  Val: [6][2/3]	Time 0.001 (0.003)	Loss 0.5405 (0.5860)
Pred  Val end: [6]	Time 0.010	Loss 0.5860
Val loss score [6]: tensor(0.5860) <-Best
Epoch: [7][0/17]	Time 0.016 (0.016)	Loss 0.6162 (0.6162)
Epoch: [7][1/17]	Time 0.007 (0.011)	Loss 0.5517 (0.5840)
Epoch: [7][2/17]	Time 0.007 (0.010)	Loss 0.5207 (0.5629)
Epoch: [7][3/17]	Time 0.008 (0.009)	Loss 0.5859 (0.5686)
Epoch: [7][4/17]	Time 0.007 (0.009)	Loss 0.6122 (0.5774)
Epoch: [7][5/17]	Time 0.007 (0.009)	Loss 0.5170 (0.5673)
Epoch: [7][6/17]	Time 0.010 (0.009)	Loss 0.5134 (0.5596)
Epoch: [7][7/17]	Time 0.007 (0.008)	Loss 0.5340 (0.5564)
Epoch: [7][8/17]	Time 0.006 (0.008)	Loss 0.4899 (0.5490)
Epoch: [7][9/17]	Time 0.008 (0.008)	Loss 0.5261 (0.5467)
Epoch: [7][10/17]	Time 0.006 (0.008)	Loss 0.5590 (0.5478)
Epoch: [7][11/17]	Time 0.007 (0.008)	Loss 0.5297 (0.5463)
Epoch: [7][12/17]	Time 0.007 (0.008)	Loss 0.5686 (0.5480)
Epoch: [7][13/17]	Time 0.007 (0.008)	Loss 0.5330 (0.5470)
Epoch: [7][14/17]	Time 0.007 (0.008)	Loss 0.5514 (0.5473)
Epoch: [7][15/17]	Time 0.007 (0.008)	Loss 0.5310 (0.5462)
Epoch: [7][16/17]	Time 0.007 (0.008)	Loss 0.5806 (0.5477)
Epoch end: [7]	Time 0.130	Loss 0.5477
Train loss score [7]: tensor(0.5477)
Pred  Val: [7][0/3]	Time 0.005 (0.005)	Loss 0.5459 (0.5459)
Pred  Val: [7][1/3]	Time 0.004 (0.005)	Loss 0.5707 (0.5583)
Pred  Val: [7][2/3]	Time 0.001 (0.004)	Loss 0.3929 (0.5515)
Pred  Val end: [7]	Time 0.011	Loss 0.5515
Val loss score [7]: tensor(0.5515) <-Best
Epoch: [8][0/17]	Time 0.013 (0.013)	Loss 0.5437 (0.5437)
Epoch: [8][1/17]	Time 0.007 (0.010)	Loss 0.5526 (0.5482)
Epoch: [8][2/17]	Time 0.008 (0.009)	Loss 0.5353 (0.5439)
Epoch: [8][3/17]	Time 0.006 (0.008)	Loss 0.5770 (0.5522)
Epoch: [8][4/17]	Time 0.007 (0.008)	Loss 0.4680 (0.5353)
Epoch: [8][5/17]	Time 0.010 (0.008)	Loss 0.4827 (0.5266)
Epoch: [8][6/17]	Time 0.006 (0.008)	Loss 0.6158 (0.5393)
Epoch: [8][7/17]	Time 0.007 (0.008)	Loss 0.5112 (0.5358)
Epoch: [8][8/17]	Time 0.007 (0.008)	Loss 0.5117 (0.5331)
Epoch: [8][9/17]	Time 0.008 (0.008)	Loss 0.5546 (0.5353)
Epoch: [8][10/17]	Time 0.007 (0.008)	Loss 0.4659 (0.5290)
Epoch: [8][11/17]	Time 0.007 (0.008)	Loss 0.6110 (0.5358)
Epoch: [8][12/17]	Time 0.008 (0.008)	Loss 0.4965 (0.5328)
Epoch: [8][13/17]	Time 0.008 (0.008)	Loss 0.6193 (0.5390)
Epoch: [8][14/17]	Time 0.009 (0.008)	Loss 0.4739 (0.5346)
Epoch: [8][15/17]	Time 0.007 (0.008)	Loss 0.5241 (0.5340)
Epoch: [8][16/17]	Time 0.008 (0.008)	Loss 0.4967 (0.5324)
Epoch end: [8]	Time 0.132	Loss 0.5324
Train loss score [8]: tensor(0.5324)
Pred  Val: [8][0/3]	Time 0.006 (0.006)	Loss 0.5508 (0.5508)
Pred  Val: [8][1/3]	Time 0.004 (0.005)	Loss 0.5290 (0.5399)
Pred  Val: [8][2/3]	Time 0.001 (0.004)	Loss 0.5252 (0.5393)
Pred  Val end: [8]	Time 0.011	Loss 0.5393
Val loss score [8]: tensor(0.5393) <-Best
Epoch: [9][0/17]	Time 0.010 (0.010)	Loss 0.5422 (0.5422)
Epoch: [9][1/17]	Time 0.007 (0.009)	Loss 0.5109 (0.5266)
Epoch: [9][2/17]	Time 0.012 (0.010)	Loss 0.4716 (0.5082)
Epoch: [9][3/17]	Time 0.006 (0.009)	Loss 0.4740 (0.4997)
Epoch: [9][4/17]	Time 0.006 (0.008)	Loss 0.4410 (0.4879)
Epoch: [9][5/17]	Time 0.008 (0.008)	Loss 0.5087 (0.4914)
Epoch: [9][6/17]	Time 0.007 (0.008)	Loss 0.4690 (0.4882)
Epoch: [9][7/17]	Time 0.007 (0.008)	Loss 0.4863 (0.4880)
Epoch: [9][8/17]	Time 0.007 (0.008)	Loss 0.5004 (0.4894)
Epoch: [9][9/17]	Time 0.008 (0.008)	Loss 0.4860 (0.4890)
Epoch: [9][10/17]	Time 0.007 (0.008)	Loss 0.4601 (0.4864)
Epoch: [9][11/17]	Time 0.007 (0.008)	Loss 0.4050 (0.4796)
Epoch: [9][12/17]	Time 0.007 (0.008)	Loss 0.4684 (0.4787)
Epoch: [9][13/17]	Time 0.007 (0.008)	Loss 0.3600 (0.4703)
Epoch: [9][14/17]	Time 0.007 (0.007)	Loss 0.4593 (0.4695)
Epoch: [9][15/17]	Time 0.007 (0.007)	Loss 0.5089 (0.4720)
Epoch: [9][16/17]	Time 0.007 (0.007)	Loss 0.4755 (0.4721)
Epoch end: [9]	Time 0.126	Loss 0.4721
Train loss score [9]: tensor(0.4721)
Pred  Val: [9][0/3]	Time 0.009 (0.009)	Loss 0.4661 (0.4661)
Pred  Val: [9][1/3]	Time 0.004 (0.007)	Loss 0.4833 (0.4747)
Pred  Val: [9][2/3]	Time 0.002 (0.005)	Loss 0.4949 (0.4755)
Pred  Val end: [9]	Time 0.015	Loss 0.4755
Val loss score [9]: tensor(0.4755) <-Best
Epoch: [10][0/17]	Time 0.015 (0.015)	Loss 0.4640 (0.4640)
Epoch: [10][1/17]	Time 0.007 (0.011)	Loss 0.4997 (0.4819)
Epoch: [10][2/17]	Time 0.010 (0.010)	Loss 0.4417 (0.4685)
Epoch: [10][3/17]	Time 0.008 (0.010)	Loss 0.3847 (0.4475)
Epoch: [10][4/17]	Time 0.007 (0.009)	Loss 0.4866 (0.4553)
Epoch: [10][5/17]	Time 0.007 (0.009)	Loss 0.4715 (0.4580)
Epoch: [10][6/17]	Time 0.007 (0.008)	Loss 0.4711 (0.4599)
Epoch: [10][7/17]	Time 0.010 (0.009)	Loss 0.4407 (0.4575)
Epoch: [10][8/17]	Time 0.007 (0.008)	Loss 0.5061 (0.4629)
Epoch: [10][9/17]	Time 0.008 (0.008)	Loss 0.4278 (0.4594)
Epoch: [10][10/17]	Time 0.007 (0.008)	Loss 0.3977 (0.4538)
Epoch: [10][11/17]	Time 0.009 (0.008)	Loss 0.4129 (0.4504)
Epoch: [10][12/17]	Time 0.007 (0.008)	Loss 0.3596 (0.4434)
Epoch: [10][13/17]	Time 0.008 (0.008)	Loss 0.4411 (0.4432)
Epoch: [10][14/17]	Time 0.009 (0.008)	Loss 0.4671 (0.4448)
Epoch: [10][15/17]	Time 0.007 (0.008)	Loss 0.4357 (0.4443)
Epoch: [10][16/17]	Time 0.010 (0.008)	Loss 0.4383 (0.4440)
Epoch end: [10]	Time 0.138	Loss 0.4440
Train loss score [10]: tensor(0.4440)
Pred  Val: [10][0/3]	Time 0.006 (0.006)	Loss 0.4614 (0.4614)
Pred  Val: [10][1/3]	Time 0.004 (0.005)	Loss 0.4578 (0.4596)
Pred  Val: [10][2/3]	Time 0.001 (0.004)	Loss 0.4777 (0.4603)
Pred  Val end: [10]	Time 0.012	Loss 0.4603
Val loss score [10]: tensor(0.4603) <-Best
Epoch: [11][0/17]	Time 0.010 (0.010)	Loss 0.4134 (0.4134)
Epoch: [11][1/17]	Time 0.011 (0.011)	Loss 0.3758 (0.3946)
Epoch: [11][2/17]	Time 0.008 (0.010)	Loss 0.3780 (0.3891)
Epoch: [11][3/17]	Time 0.007 (0.009)	Loss 0.3873 (0.3886)
Epoch: [11][4/17]	Time 0.010 (0.009)	Loss 0.4472 (0.4003)
Epoch: [11][5/17]	Time 0.007 (0.009)	Loss 0.4251 (0.4045)
Epoch: [11][6/17]	Time 0.008 (0.009)	Loss 0.3424 (0.3956)
Epoch: [11][7/17]	Time 0.006 (0.008)	Loss 0.3493 (0.3898)
Epoch: [11][8/17]	Time 0.007 (0.008)	Loss 0.4171 (0.3928)
Epoch: [11][9/17]	Time 0.008 (0.008)	Loss 0.4045 (0.3940)
Epoch: [11][10/17]	Time 0.007 (0.008)	Loss 0.4418 (0.3984)
Epoch: [11][11/17]	Time 0.007 (0.008)	Loss 0.4715 (0.4045)
Epoch: [11][12/17]	Time 0.007 (0.008)	Loss 0.4225 (0.4058)
Epoch: [11][13/17]	Time 0.007 (0.008)	Loss 0.4746 (0.4108)
Epoch: [11][14/17]	Time 0.007 (0.008)	Loss 0.4461 (0.4131)
Epoch: [11][15/17]	Time 0.010 (0.008)	Loss 0.4007 (0.4123)
Epoch: [11][16/17]	Time 0.007 (0.008)	Loss 0.4280 (0.4130)
Epoch end: [11]	Time 0.133	Loss 0.4130
Train loss score [11]: tensor(0.4130)
Pred  Val: [11][0/3]	Time 0.005 (0.005)	Loss 0.4011 (0.4011)
Pred  Val: [11][1/3]	Time 0.005 (0.005)	Loss 0.4856 (0.4434)
Pred  Val: [11][2/3]	Time 0.002 (0.004)	Loss 0.4445 (0.4434)
Pred  Val end: [11]	Time 0.012	Loss 0.4434
Val loss score [11]: tensor(0.4434) <-Best
Epoch: [12][0/17]	Time 0.008 (0.008)	Loss 0.4437 (0.4437)
Epoch: [12][1/17]	Time 0.006 (0.007)	Loss 0.4110 (0.4273)
Epoch: [12][2/17]	Time 0.006 (0.007)	Loss 0.3640 (0.4062)
Epoch: [12][3/17]	Time 0.008 (0.007)	Loss 0.3984 (0.4043)
Epoch: [12][4/17]	Time 0.009 (0.008)	Loss 0.4080 (0.4050)
Epoch: [12][5/17]	Time 0.007 (0.008)	Loss 0.4035 (0.4048)
Epoch: [12][6/17]	Time 0.010 (0.008)	Loss 0.3774 (0.4008)
Epoch: [12][7/17]	Time 0.008 (0.008)	Loss 0.3674 (0.3967)
Epoch: [12][8/17]	Time 0.007 (0.008)	Loss 0.3909 (0.3960)
Epoch: [12][9/17]	Time 0.009 (0.008)	Loss 0.4149 (0.3979)
Epoch: [12][10/17]	Time 0.008 (0.008)	Loss 0.3959 (0.3977)
Epoch: [12][11/17]	Time 0.007 (0.008)	Loss 0.4054 (0.3984)
Epoch: [12][12/17]	Time 0.007 (0.008)	Loss 0.4767 (0.4044)
Epoch: [12][13/17]	Time 0.007 (0.008)	Loss 0.3931 (0.4036)
Epoch: [12][14/17]	Time 0.006 (0.008)	Loss 0.3844 (0.4023)
Epoch: [12][15/17]	Time 0.007 (0.008)	Loss 0.4112 (0.4029)
Epoch: [12][16/17]	Time 0.008 (0.008)	Loss 0.4210 (0.4036)
Epoch end: [12]	Time 0.129	Loss 0.4036
Train loss score [12]: tensor(0.4036)
Pred  Val: [12][0/3]	Time 0.005 (0.005)	Loss 0.4814 (0.4814)
Pred  Val: [12][1/3]	Time 0.005 (0.005)	Loss 0.4129 (0.4472)
Pred  Val: [12][2/3]	Time 0.002 (0.004)	Loss 0.2989 (0.4410)
Pred  Val end: [12]	Time 0.012	Loss 0.4410
Val loss score [12]: tensor(0.4410) <-Best
Epoch: [13][0/17]	Time 0.011 (0.011)	Loss 0.4270 (0.4270)
Epoch: [13][1/17]	Time 0.006 (0.008)	Loss 0.3625 (0.3948)
Epoch: [13][2/17]	Time 0.007 (0.008)	Loss 0.4114 (0.4003)
Epoch: [13][3/17]	Time 0.007 (0.008)	Loss 0.3657 (0.3916)
Epoch: [13][4/17]	Time 0.007 (0.008)	Loss 0.3545 (0.3842)
Epoch: [13][5/17]	Time 0.006 (0.007)	Loss 0.4672 (0.3980)
Epoch: [13][6/17]	Time 0.008 (0.007)	Loss 0.3691 (0.3939)
Epoch: [13][7/17]	Time 0.009 (0.008)	Loss 0.4263 (0.3980)
Epoch: [13][8/17]	Time 0.007 (0.008)	Loss 0.4065 (0.3989)
Epoch: [13][9/17]	Time 0.006 (0.007)	Loss 0.3265 (0.3917)
Epoch: [13][10/17]	Time 0.007 (0.007)	Loss 0.4601 (0.3979)
Epoch: [13][11/17]	Time 0.008 (0.007)	Loss 0.3695 (0.3955)
Epoch: [13][12/17]	Time 0.009 (0.008)	Loss 0.3639 (0.3931)
Epoch: [13][13/17]	Time 0.008 (0.008)	Loss 0.3683 (0.3913)
Epoch: [13][14/17]	Time 0.007 (0.008)	Loss 0.4366 (0.3943)
Epoch: [13][15/17]	Time 0.007 (0.008)	Loss 0.4084 (0.3952)
Epoch: [13][16/17]	Time 0.007 (0.008)	Loss 0.3865 (0.3949)
Epoch end: [13]	Time 0.128	Loss 0.3949
Train loss score [13]: tensor(0.3949)
Pred  Val: [13][0/3]	Time 0.006 (0.006)	Loss 0.4090 (0.4090)
Pred  Val: [13][1/3]	Time 0.005 (0.005)	Loss 0.3901 (0.3995)
Pred  Val: [13][2/3]	Time 0.002 (0.004)	Loss 0.4774 (0.4027)
Pred  Val end: [13]	Time 0.012	Loss 0.4027
Val loss score [13]: tensor(0.4027) <-Best
Epoch: [14][0/17]	Time 0.014 (0.014)	Loss 0.3565 (0.3565)
Epoch: [14][1/17]	Time 0.007 (0.011)	Loss 0.3745 (0.3655)
Epoch: [14][2/17]	Time 0.006 (0.009)	Loss 0.3889 (0.3733)
Epoch: [14][3/17]	Time 0.007 (0.009)	Loss 0.4040 (0.3810)
Epoch: [14][4/17]	Time 0.007 (0.008)	Loss 0.4864 (0.4021)
Epoch: [14][5/17]	Time 0.008 (0.008)	Loss 0.3728 (0.3972)
Epoch: [14][6/17]	Time 0.007 (0.008)	Loss 0.3690 (0.3932)
Epoch: [14][7/17]	Time 0.006 (0.008)	Loss 0.3877 (0.3925)
Epoch: [14][8/17]	Time 0.007 (0.008)	Loss 0.3258 (0.3851)
Epoch: [14][9/17]	Time 0.008 (0.008)	Loss 0.3733 (0.3839)
Epoch: [14][10/17]	Time 0.007 (0.008)	Loss 0.3607 (0.3818)
Epoch: [14][11/17]	Time 0.007 (0.008)	Loss 0.3484 (0.3790)
Epoch: [14][12/17]	Time 0.007 (0.008)	Loss 0.3231 (0.3747)
Epoch: [14][13/17]	Time 0.009 (0.008)	Loss 0.3553 (0.3733)
Epoch: [14][14/17]	Time 0.006 (0.008)	Loss 0.3508 (0.3718)
Epoch: [14][15/17]	Time 0.007 (0.007)	Loss 0.3168 (0.3684)
Epoch: [14][16/17]	Time 0.007 (0.007)	Loss 0.3524 (0.3677)
